name,price,brand,weight in grams,bearing size,response,material,designed in,made in,machined in,released,description,diameter mm,diameter in,width mm,width in,gap width mm,gap width in,bearing type,material group
Roppo,33.0,Shuriken,65.3,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Hong Kong,,,2023-06-01,Stable and Powerful V-Shaped YoYo!,56.8,2.24,46.8,1.84,4.5,0.18,Size C,Aluminum
Da Vinci,100.0,yoyofriends,62.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Stainless Steel Rings,China,China,,2023-06-01,Tomoki Toyama Signature YoYo!,55.89,2.2,44.64,1.76,4.5,0.18,Size C,Aluminum Bi-Metal
Brass Exia,70.0,MK1 YoYos,66.3,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Brass Rings,USA,China,,2023-07-01,Inner Ring Bi-Metal YoYo!,55.6,2.19,47.3,1.86,4.5,0.18,Size C,Aluminum Bi-Metal
Titanium Koi,279.99,yoyofriends,65.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium,China,China,,2023-06-01,Titanium Organic Shaped YoYo!,56.04,2.21,43.52,1.71,4.45,0.18,Size C,Titanium
Titanium Koi XL,379.99,yoyofriends,63.0,NSK,"""Slim Pad"" Size 19mm OD",Titanium,China,China,,2023-06-01,Oversized Organic Titanium YoYo!,63.11,2.48,48.11,1.89,4.39,0.17,Other,Titanium
Stainless Steel Koi,149.99,yoyofriends,64.65,Size D,"""Slim Pad"" Size 19mm OD",Stainless Steel,China,China,,2023-06-01,Stainless Steel Organic Shaped YoYo!,52.0,2.05,42.84,1.69,4.47,0.18,Size D,Stainless Steel
Full Metal Damascus,625.0,ENSO,64.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium w/ EngravedDamascus Steel Rims,USA,China,,2023-07-01,High Performance Titanium x Damascus Steel Rim YoYo!,56.79,2.24,43.48,1.71,4.69,0.18,Size C,Titanium Bi-Metal
The Populist,120.0,Doctor Popular,65.0,Size C,19mm,7075 aluminum + Brass or Stainless Steel,,,,2023-01-01,Powerful 7075 Bi-Metal YoYo!,54.16,2.13,46.01,1.81,4.51,0.18,Size C,Aluminum Bi-Metal
Klondike,,Caribou Lodge,65.0,Size C (.250 x .500 x .187),Snow Tires,6061 Aluminum w/ Stainless Steel Rings,Canada,,,2023-07-01,Japanese focused competition design!,55.6,0.0,45.1,0.0,4.45,0.175,Size C,Aluminum Bi-Metal
Bullseye,34.99,YoYoFactory,66.3,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2023-07-01,Hit the Bullseye,56.5,2.22,43.5,1.71,,,Size C,Aluminum
Plastic Peak - CLYW × LFVK,39.99,Luftverk,66.0,Size C (.250 x .500 x .187),Snow Tire Response,Injection Molded Polycarbonate & Machined,Canada,China,,2023-07-01,another chapter of the legendary Peak,59.0,2.32,47.6,1.85,4.5,0.18,Size C,Polycarbonate
Minitee,79.99,Caribou Lodge,66.02,Size C (.250 x .500 x .187),CLYW Snow Tires,,Canada,,China,,Signature Series of the AMAZING Riccardo Fraolini,43.98,1.73,50.13,1.97,4.15,0.16,Size C,
Unicorn,69.99,MK1 YoYos,,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum w/ Stainless Steel Ring,USA,China,,2023-08-01,Cap-Compatible Bi-metal!,55.0,2.17,66.1,2.6,4.45,0.18,Size C,Aluminum Bi-Metal
ROCKstar,44.99,YoYoFactory,66.9,Size C (.250 x .500 x .187),"CBC ""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2023-08-01,JDS x YoYoFactory YoYo!,55.97,2.2,44.15,1.74,,,Size C,Aluminum
Abyss,44.99,YoYoFactory,66.9,Size C (.250 x .500 x .187),"CBC ""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2023-08-01,Kento Noda Signature YoYo!,55.97,2.2,44.15,1.74,4.5,0.18,Size C,Aluminum
Path,49.99,MK1 YoYos,64.9,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum,USA,,,2023-08-01,Jack Hudspath Signature Yoyo Design,54.1,2.13,49.3,1.94,,,Size C,Aluminum
DEMA,55.0,Polyform,65.5,Size C (.250 x .500 x .187),PF20.6 Pad,6061 Aluminum,,,,2023-04-01,Jacky Le Signature YoYo!,55.0,2.17,46.0,1.85,4.45,0.18,Size C,Aluminum
Paragraph,29.99,yoyofriends,65.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,China,China,,2023-08-01,Malte Voss Signature YoYo!,55.34,2.18,45.0,1.77,4.44,0.17,Size C,Aluminum
Cephas,95.0,Atmos Project,65.2,Size C (.250 x .500 x .187),Stratos Pads,Aluminum 6061,,,,2023-01-01,Flat Cap Organic Shaped Yoyo!,54.3,2.14,48.4,1.91,4.7,0.19,Size C,Aluminum
Dopamine,59.99,Hollywood Modern Yoyos,65.8,Size C (.250 x .500 x .187),"""Hollywood Pads"" Size 19mm OD",7075 Aluminum,,,,2023-01-01,Ross Levine Signature YoYo!,55.7,2.19,42.7,1.68,4.2,0.17,Size C,Aluminum
Scintillator,39.99,C3yoyodesign,65.0,Size C (.250 x .500 x .187),C3 JP Pads  19mm Slim Pad Size,,,,,,Simpson Wong Wai Sheuk Signature YoYo!,,,,,,,Size C,
W!ld,119.0,W1LD,65.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Aluminum w/ Stainless Steel Rings,,,,2023-01-01,Yang Chen Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Hideyoshi,144.99,Sengoku,,,,,,,,,Innovative Tri-Metal Design!,,,,,,,,
Empath,64.99,Empathy,66.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,,,,2023-01-01,Empathy's First Monometal YoYo!,,,,,,,Size C,Aluminum
World-Class,60.0,Duncan,61.2,Size A,Duncan Small Pad,6061 Aluminum,,,,2023-01-01,Modern Classic H-Shaped YoYo!,,,,,,,Size A,Aluminum
Freehand 2 AL,65.0,Duncan,66.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,,,,2023-01-01,An homage to the Freehand 2!,,,,,,,Size C,Aluminum
Freehand Mini,60.0,Duncan,62.4,Small or Large,Small Pad or Slim 19mm,6061 Aluminum,,,,2023-01-01,Miniature Freehand!,,,,,,,Other,Aluminum
Freehand Delrin,54.99,Duncan,66.1,Size C,Slim 19mm Pads,Machined Delrin,,,,2023-01-01,Experience the Freehand in Delrin!!,,,,,,,Size C,Delrin
Freehand PC - (Polycarb Machined),54.99,Duncan,66.1,Size C,Slim 19mm Pads,Machined Polycarbonate,,,,2023-01-01,Experience the Freehand in Polycarbonate!!,,,,,,,Size C,Polycarbonate
Cenote,74.99,Turner Return Tops,63.2,Size C (.250 x .500 x .187),Type 50 Landing Pads,6061 Aluminum,,,,2023-01-01,Fun Slim YoYo!,,,,,,,Size C,Aluminum
KIM 23,59.99,YoYoFactory,66.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Polycarbonate Shell,USA,,,2023-09-01,The Miracle Reborn at an Affordable Price!,,,,,,,Size C,Aluminum
AoE,17.99,yoyofriends,66.9,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Polycarbonate,China,,,,Beginner to Advanced Finger Spin YoYo!,,,,,,,Size C,Polycarbonate
Still Rollin,65.99,One Drop YoYos,62.9,Size C (.250 x .500 x .187),One Drop Standard Flow Groove Pads,6061 Aluminum,USA,,,2023-09-01,Talia Jamison Signature YoYo!,,,,,,,Size C,Aluminum
Fat Tire 20/20,66.0,One Drop YoYos,67.4,Size C (.250 x .500 x .187),One Drop Standard Flow Groove Pad,6061 Aluminum,USA,,,2023-01-01,One Drop Friend Chris Greiner Collaboration YoYo!,,,,,,,Size C,Aluminum
Acanthus S,189.99,Turning Point,66.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Japan,,,2023-01-01,Takeshi Matsuura Signature YoYo!,,,,,,,Size C,Aluminum
Krown .wst,134.99,C3yoyodesign,63.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rings,Hong Kong,,,2023-01-01,Shinya Kido Signature Yoyo!,,,,,,,Size C,Aluminum Bi-Metal
Project 2,120.0,Markmont,64.65,Size C (.250 x .500 x .187),One Drop Standard Flow Groove Pad,6061 Aluminum,USA,,,,Scaled up MarkMont Project Yoyo!,,,,,,,Size C,Aluminum
2023 Champions Collection,24.99,YoYoFactory,,,,,,,,,Throwback To The Yo-Yos That Won Previous World YoYo Contests!,,,,,,,,
Veylaa,120.0,Duncan,65.7,Size C,19mm Slim Pad,6061 Aluminum,USA,,,2023-01-01,Garbkamol Limangkul “Polo” Signature YoYo!,,,,,,,Size C,Aluminum
Northstar,24.99,YoYoFactory,71.35,Center Trac Large,19mm Slim Pad,,,,,2023-01-01,YoYo Used to Win the 2010 World YoYo Contest!,,,,,,,Other,
Superstar,59.99,YoYoFactory,66.22,Center Trac Large,19mm Slim Pad,6061 Aluminum,,,,2023-01-01,YoYo Used to Win the 2008 World YoYo Contest!,,,,,,,Other,Aluminum
888,59.99,YoYoFactory,66.3,Center Trac Large,19mm Slim Pad,6061 Aluminum,,,,2023-01-01,YoYo Used to Win the 2007 World YoYo Contest!,,,,,,,Other,Aluminum
Southside,130.0,Empathy,65.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rings,Czech Republic,,,2023-10-01,Maty Držmíšek Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Diorama,70.99,One Drop YoYos,62.8,Size C (.250 x .500 x .187),Standard One Drop Flow Groove Pad,7075 Aluminum,USA,,,2023-10-01,Tsukasa Takatsu Signature YoYo!,,,,,,,Size C,Aluminum
Physix,140.0,Empathy,65.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Aluminum w/ Stainless Steel Ring,Czech Republic,,,2023-10-01,Kim Min Joon Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Libero,66.0,Zero Gravity Return Tops,63.9,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum,Canada,,,2023-10-01,Powerful V-H Shape YoYo!,,,,,,,Size C,Aluminum
Gyrfalcon,420.0,yoyofriends,64.4,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Magnesium w/ Stainless Steel Ring,China,,,2023-10-01,yoyofriends first take on Magnesium x Stainless Steel + MGSS with SE!,,,,,,,Size C,Magnesium Bi-Metal
Hidra NXG,54.99,iYoYo,65.3,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Aluminum,Germany,,,2023-11-01,"Wide, Powerful YoYo!",,,,,,,Size C,Aluminum
Wizard,68.0,One Drop YoYos,64.1,Size C (.250 x .500 x .187),One Drop Standard Flow Groove Pads,6061 Aluminum,USA,,,2023-11-01,Will Prater Signature Yoyo!,,,,,,,Size C,Aluminum
Mini Hummingbird,100.0,yoyofriends,59.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 w/ Brass Rings,China,,,2023-11-01,Miniature Hummingbird Yo-Yo!,,,,,,,Size C,Bi-Metal
Capstan '22,70.0,YoYoWorkShop,62.1,Size D,"CBC ""Slim Pad"" Size 19mm OD!",6061 Aluminum,,,,2023-02-01,Undersized D-Bearing YoYo!,,,,,,,Size D,Aluminum
Butterfly AL w/ Delrin Cap,69.99,Duncan,61.5,Size A,Small Bearing Slim Pad,6061 Aluminum w/ Delrin Cap,USA,China,,2023-02-01,Aluminum Butterfly 2023!,,,,,,,Size A,Aluminum
Imperial AL,69.99,Duncan,62.0,Size A,Small Bearing Slim Pad,6061 Aluminum,USA,China,,2023-02-01,Aluminum Imperial YoYo!,,,,,,,Size A,Aluminum
Mustang Grade 5,470.0,Turning Point,67.51,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium,Japan,Japan,,2023-02-01,Takeshi Matsuura signature YoYo!,,,,,,,Size C,Titanium
Genesis 2023,50.0,YoYoFactory,65.36,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2023-02-01,Miguel Correa Signature Yoyo!,,,,,,,Size C,Aluminum
SU1,160.0,Unparalleled,65.9,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 w/ Stainless Steel Rings,USA and Japan,China,,2023-02-01,SOMETHING x UNPRLD YoYo Collab!,,,,,,,Size C,Bi-Metal
Anti-Mono,54.99,YoYo Sense,65.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Plastic Shell,China,China,,2023-02-01,"Comfty, yet POWERFUL Organic Shaped YoYo!",,,,,,,Size C,Aluminum
Overthinker,109.99,C3yoyodesign,63.4,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Ring,Hong Kong,China,,,Zhou Bowen Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Emotion,60.0,Dressel Designs,65.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum,USA,China,,2023-03-01,Dressel Design's Flagship Monometal,,,,,,,Size C,Aluminum
Pheasant Monometal,48.0,yoyofriends,65.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068,China,China,,2023-03-01,Yoyofriends Monometal Flagship YoYo!,,,,,,,Size C,Other
Pheasant 2023,155.0,yoyofriends,63.4,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Stainless Steel Rims,China,China,,2023-03-01,Competition Grade Bi-Metal YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Freebird OG,69.99,Duncan,65.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2023-03-01,Hank Freeman Signature YoYo!,,,,,,,Size C,Aluminum
Freebird 3,79.99,Duncan,65.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2023-03-01,Hank Freeman Signature YoYo!,,,,,,,Size C,Aluminum
Freebird 2,79.99,Duncan,65.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2023-03-01,Hank Freeman Signature YoYo!,,,,,,,Size C,Aluminum
Plastic 000,29.99,Luftverk,65.4,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Plastic,Canada,China,,2023-03-01,Injection Machined Innovative Plastic,,,,,,,Size C,Plastic
The Martian,349.99,Round Spinning Objects,65.2,Size C (.250 x .500 x .187),"""CLYW Slim / G-Grip Response Type 50 Landing Pad""",Titanium,Singapore,China,,2023-03-01,MARTIAN INVASION!,,,,,,,Size C,Titanium
The Bowl MG,379.99,Round Spinning Objects,63.7,Size C (.250 x .500 x .187),"""CLYW Slim / G-Grip Response Type 50 Landing Pad""",Magnesium,Singapore,China,,2023-03-01,MAGNESIUM IS FOREVER,,,,,,,Size C,Magnesium
Puffin,90.0,Reykjavik Return Tops,63.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Aluminum w/ Stainless Steel Rings,Iceland,China,,2023-03-01,Páll Guðmundsson Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
A4,85.0,Polyform,66.1,Size C (.250 x .500 x .187),PF20.6 Pad,6061 + Polymide 66,,,,2023-04-01,6061 Aluminium With a Polyamide 66 Nylon Ring!,,,,,,,Size C,Other
MiLarge,69.99,Japan Technology,67.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Japan,China,,2023-04-01,Large & Powerful YoYo!,,,,,,,Size C,Aluminum
SS-001 MINI PANZER,62.99,Sturm Panzer,23.0,Custom NSK,Custom O-Ring,Brass,Japan,China,,2023-03-01,World's Smallest Unresponsive YoYo!,,,,,,,Other,Brass
SS-001z MINI-PANZER Economy,29.99,Sturm Panzer,21.7,Custom NSK Bearing,Custom O-Ring,Brass,Japan,China,,2023-03-01,Worlds Smallest Responsive Yoyo!,,,,,,,Other,Brass
Twin Drive Aluminum,99.99,Top Yo,64.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003 Aluminum w/ Stainless Steel Rings,China,China,,2023-04-01,Bi-metal with Twice the Power!,,,,,,,Size C,Aluminum Bi-Metal
Noema,79.99,Top Yo,66.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003 Aluminum w/ Stainless Steel Ring,China,China,,2023-04-01,Song Zihao Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Colossus S,49.99,Top Yo,65.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003 Aluminum w/ Stainless Steel Rings,China,China,,2023-04-01,Bi-Metal Colossus!,,,,,,,Size C,Aluminum Bi-Metal
Annihilation Mono,34.99,Top Yo,68.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003 Aluminum,China,China,,2023-04-01,Lin Junyi Signature YoYo!,,,,,,,Size C,Aluminum
T.R.Y.,34.99,Top Yo,65.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum,China,China,,2023-04-01,Organic Competition YoYo!,,,,,,,Size C,Aluminum
Kubrick,79.99,Smashing Yo-Yo Company,63.75,Size C,19mm Slim Pad,7075 Aluminum,,,,2023-01-01,Super Wide Design!,,,,,,,Size C,Aluminum
Lucas Decker Signature KnockOut Series YoYos,44.99,YoYoFactory,64.97,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2021-05-01,Eric Koloski Signature YoYo!,,,,,,,Size C,Aluminum
El Mijo Polycarbonate,69.0,Zero Gravity Return Tops,52.5,Size D,El Mijo Size D Response Pad,Polycarbonate,Canada,China,,2023-04-01,Slimline Polycarbonate Yoyo!,,,,,,,Size D,Polycarbonate
TiNY,140.0,yoyofriends,60.95,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium,China,China,,2023-04-01,Small Titanium YoYo!,,,,,,,Size C,Titanium
Cheatcode,65.0,Brandon Vu & Jeffrey Pang,67.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Delrin Caps,Canada,China,,2023-04-01,The Ultimate Fingerspin Yoyo!,,,,,,,Size C,Aluminum
Yonami Code,47.99,Rain City,62.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Canada,China,,2023-04-01,Triple Signature H Shape YoYo!,,,,,,,Size C,Aluminum
Orbital GTX 2,74.99,Duncan,66.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Ring,USA,China,,2023-04-01,Tal Mordoch Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Grasshopper GTX 2,79.99,Duncan,65.2,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Ring,USA,China,,2023-04-01,Janos Karancz Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Kodiak,90.0,Caribou Lodge,65.83,Size C (.250 x .500 x .187),CLYW Snow Tire,6061 Aluminum,Canada,China,,2023-05-01,Tessa Piccillo Signature Yoyo!,,,,,,,Size C,Aluminum
OOCH SnapBack Starter Set,19.99,YoYoExpert,,,,,,,,,The best way to get started,,,,,,,,
OOCH SnapBack & Atom Smasher Starter Set,35.99,YoYoExpert,,,,,,,,,The best way to get started,,,,,,,,
OOCH SnapBack YoYo,12.99,YoYoExpert,,,,,,,,,The best way to get started,,,,,,,,
Notion,80.0,Unparalleled,69.39,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",POM w/ Stainless Steel Rings,USA,China,,2023-05-01,Colin Beckford Signature YoYo!,,,,,,,Size C,POM Bi-Metal
Speedaholic FX,59.99,C3yoyodesign,65.25,Size C (.250 x .500 x .187),19mm Slim Pad Size,Polycarbonate w/ 6061 Rims/Hubs,Hong Kong,,,2023-05-01,Hybrid Fingerspin YoYo!,,,,,,,Size C,Polycarbonate
Satinav,220.0,C3yoyodesign,64.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Titanium Ring,Hong Kong,China,,2023-05-01,Leo Chan Matsumoto Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Harmonic,120.0,Motion YoYo,62.9,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum - SS rims (20.9g each),USA,,,2023-05-01,The YoYo For Relaxing & Enjoying Your Day,,,,,,,Size C,Aluminum
Snowberry,65.0,Atmos Project,65.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Delrin,,,,2023-06-01,Organic Delrin YoYo!,,,,,,,Size C,Delrin
Samothrace,159.99,C3yoyodesign,64.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum w/ Stainless Steel Ring,Hong Kong,,,2023-06-01,Hobbit Wang Xiao-Wen Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Reboot,71.0,One Drop YoYos,63.5,Size C (.250 x .500 x .187),One Drop Standard Flow Groove Pad,7075 Aluminum,USA,USA,,2023-05-01,Ryosuke Kawamura Signature YoYo!,,,,,,,Size C,Aluminum
Blur Autoscopy,86.99,yoyorecreation,61.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Japan,,,2023-06-01,Hajime Miura Signature YoYo!,,,,,,,Size C,Aluminum
Turbo Grind Machine,60.0,YoYoFactory,55.5,Size A,Retro Response Pads,6061 Aluminum,USA,China,,2023-06-01,Retro Responsive YoYo!,,,,,,,Size A,Aluminum
