name,price,brand,weight in grams,bearing size,response,material,designed in,made in,machined in,released,description,diameter mm,diameter in,width mm,width in,gap width mm,gap width in,bearing type,material group
Cloudstrike,319.99,yoyofriends,65.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Magnesium,China,China,,2022-07-01,The first Mg yoyo from YoYoFriends!,,,,,,,Size C,Magnesium
Hendiatris,89.99,yoyoball,62.25,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 AL / Stinless Steel / POM,China,China,,2022-07-01,Bi-metal design with a free spinning catch zone!,,,,,,,Size C,Various
Switchblade,79.99,YoYoFactory,65.25,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rings,USA,China,,2022-07-01,Michael Malík Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
R-Type,44.99,YoYoFactory,66.2,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2022-07-01,An elite performing yoyo at a competitive price!,,,,,,,Size C,Aluminum
Halo,34.99,YoYoFactory,65.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2022-07-01,Angel2Up A.K.A. Angelo Aguirre Signature Yo-Yo!,,,,,,,Size C,Aluminum
The LiV,89.99,Free2Throw,57.15,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel or Brass Rings,USA,China,,2022-07-01,Lighweight bi-metal with an organic profile.,,,,,,,Size C,Aluminum Bi-Metal
Monotone,63.99,yoyorecreation,67.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Japan,China,,2022-07-01,Tony Šec Signature YoYo!,,,,,,,Size C,Aluminum
Tone,160.99,yoyorecreation,65.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075Aluminum w/ Stainless Steel Rings,Japan,China,,2022-07-01,Tony Šec Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Mirage ESD,79.99,Japan Technology,66.9,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum,Japan,China,,2022-07-01,Extra Super Duralumin!,,,,,,,Size C,Aluminum
Shade,159.99,Japan Technology,66.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rings,Japan,China,,2022-08-01,Competition geared bi-metal!,,,,,,,Size C,Aluminum Bi-Metal
N11,15.99,MagicYoYo,64.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,China,China,,2022-08-01,Entry level unresponsive yoyo.,,,,,,,Size C,Aluminum
V3,16.99,MagicYoYo,64.9,Slim,"""Slim Pad"" Size 19mm OD",6061 Aluminum,China,China,,2022-08-01,Responsive entry-level metal yoyo.,,,,,,,Other,Aluminum
Crystal,12.99,MagicYoYo,65.0,Slim,"""Slim Pad"" Size 19mm OD",Polycarbonate,China,China,,2022-08-01,Unresponsive plastic design!,,,,,,,Other,Polycarbonate
Hanzo,89.0,Sengoku,60.0,Size C (.250 x .500 x .187),19mm Slim Pad Size,,Japan,China,,,Mono-Metal Version of the Hattori!,,,,,,,Size C,
Little Confusion,40.0,YoYoFactory,51.55,Size A (5x10x4 mm),YYF Small Response Pad Thick Orange Pads,,USA,China,,,Mini Hubstack Design!,,,,,,,Size A,
Spin Gadget,9.99,Japan Technology,56.12,Plastic Spool,Starburst,Plastic,Japan,China,,2021-12-01,Entry level plastic yoyo.,,,,,,,Spool,Plastic
Locus,59.99,pdx-yo,65.45,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2021-12-01,Organic mon-metal design!,,,,,,,Size C,Aluminum
Neo Master Galaxy,54.99,C3yoyodesign,65.4,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Hong Kong,China,,2021-12-01,Extra wide yoyo design!,,,,,,,Size C,Aluminum
Hybrid,79.99,MOWL,62.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Polycarbonate Body w/ POM Rims,Japan,China,,2021-12-01,Bi-Plastic Design!,,,,,,,Size C,Polycarbonate
El Mijo,84.99,Zero Gravity Return Tops,58.0,Size D,El Mijo Size D Response Pad,7075 Aluminum,Canada,China,,2021-12-01,Slim D-bearing design!,,,,,,,Size D,Aluminum
Rebrand,11.99,Rain City,50.62,Size C Narrow,19mm Slim Pad Size,Polycarbonate,China,China,,2022-05-01,Entry level responsive yoyo.,,,,,,,Size C,Polycarbonate
Tropic Alien,49.99,Recess,66.31,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2021-12-01,Zafran Aqil Signature YoYo!,,,,,,,Size C,Aluminum
Kagerou,179.99,Japan Technology,65.3,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Aluminum Body w/ Steel Rings,Japan,China,,2022-01-01,New bi-metal design!,,,,,,,Size C,Aluminum Bi-Metal
Red Blood Cell (RBC),84.99,MK1 YoYos,48.0,MR85,Custom Pads,7068 Aluminum,USA,China,,2021-12-01,MK1 and Spinworthy Collaboration!,,,,,,,Other,Aluminum
Triple Double,49.99,Recess,66.41,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2021-12-01,Joe Wilson signature yoyo!,,,,,,,Size C,Aluminum
Freehand One - Plastic FH1,24.99,Duncan,66.41,Size A,SG Stickers (Small Bearing)Also Compatible w/ FrictionStickers,Polycarbonate,USA,China,,2021-12-01,The Freehand has returned!,,,,,,,Size A,Polycarbonate
Obsession+,,MOWL,64.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum w/ Stainless Steel Rims,Japan,China,,2021-12-01,Bi-metal version of the Obsession!,,,,,,,Size C,Aluminum Bi-Metal
Tiramisu 2,369.99,Round Spinning Objects,66.0,Size C (.250 x .500 x .187),"Landing Pads ""Slim Pad"" Size 19mm OD",Titanium,Singapore / USA,China,,2021-12-01,New C-Bearing version of the Tiramisu!,,,,,,,Size C,Titanium
Prestige 2022,68.99,General Yo,65.8,General-Yo AIGR Size C (.250 x .500 x .187),Gen 19 Pads (Slim Pad),,USA,China,,2021-12-01,New and improved Prestige!,,,,,,,Size C,
Aitch,58.99,One Drop YoYos,64.4,Size C (.250 x .500 x .187),One Drop Standard Flow Groove Pads,6061 Aluminum,USA,USA,,2021-12-01,H-Shape design with Side Effects!,,,,,,,Size C,Aluminum
FTY 138,74.99,Fair Trade YoYos,64.95,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2022-01-01,Compact organic design.,,,,,,,Size C,Aluminum
Mgska,369.99,Turning Point,65.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Magnesium,Japan,China,,2022-01-01,Shingo Terada signature model!,,,,,,,Size C,Magnesium
Tiger Driver,34.99,Turnbuckle YoYo,65.1,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2022-04-01,Organic design but with modern elements.,,,,,,,Size C,Aluminum
Black Canon,89.99,Markmont,55.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,USA,,,Pocket Throw With The Playability Of A Fullsize Throw!,,,,,,,Size C,Aluminum
Droid,499.99,Round Spinning Objects,64.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium w/ Stainless Steel Ring,Singapore,China,,2021-01-01,Bi-Metal Titanium Side Effect YoYo!,,,,,,,Size C,Titanium Bi-Metal
GTR-JS,119.99,Duncan,63.81,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rims,USA,China,,2022-01-01,Jonathan Sitanggang Signature Model!,,,,,,,Size C,Aluminum Bi-Metal
GTR,89.99,Duncan,65.95,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 w/ Stainless Steel Rims,USA,China,,2022-01-01,Competition level bi-metal design!,,,,,,,Size C,Bi-Metal
YYF 45,45.0,YoYoFactory,45.2,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Plastic Cap,USA,USA,,2022-01-01,Ultra lightweight fingerspin yoyo!,,,,,,,Size C,Aluminum
Colossus VI Max,31.99,Top Yo,65.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003 Aluminum,China,China,,2022-01-01,Taking the Colossus to the MAX!,,,,,,,Size C,Aluminum
Colos-SUS,39.99,Top Yo,65.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003 Aluminum,China,China,,2022-01-01,TopYo X SUS YOYO MECHANICS collaboration!,,,,,,,Size C,Aluminum
Reality,79.99,Top Yo,66.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7003 Aluminum w/ Stainless Steel Rims,China,China,,2022-01-01,TopYo x July Yoyo!,,,,,,,Size C,Aluminum Bi-Metal
Bolt,44.99,Doctor Popular,64.11,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Plastic,USA,China,,2022-02-01,The DocPopBOLT has returned!,,,,,,,Size C,Plastic
Bumblebee,64.99,Duncan,62.6,Size A,Duncan 12mm Pad,6061 Aluminum,USA,China,,2022-02-01,Bi-metal bumblebee!,,,,,,,Size A,Aluminum
Kanto,54.99,Dressel Designs,60.77,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rings / Brass,USA,China,,2022-02-01,Slim bi-metal design!,,,,,,,Size C,Aluminum Bi-Metal
BettyNova w/ DNA Fingerspin Caps,59.99,YoYoFactory,64.9,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2022-02-01,Betty Gallegos Signature YoYo!,,,,,,,Size C,Aluminum
Edgeless,59.99,YoYoFactory,65.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061Aluminum,USA,China,,2022-02-01,New and improved Edgeless!,,,,,,,Size C,Aluminum
Delphinium,332.99,C3yoyodesign,64.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium,USA,China,,2022-02-01,Monometal version of the Strelitizia!,,,,,,,Size C,Titanium
The End,379.99,Round Spinning Objects,65.43,Size C (.250 x .500 x .187),RSO Landing Pads,Titanium,Singapore,China,,2022-02-01,Throwback design reimagined in Titanium!,,,,,,,Size C,Titanium
Atom Smasher,19.99,YoYoFactory,65.8,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Polycarbonate,USA,China,,2022-04-01,The perfect plastic yoyo for fingerspins and power!,,,,,,,Size C,Polycarbonate
Sugar High,399.99,YoYoFactory,64.41,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium,USA,China,,2022-02-01,Shu Takada Signature YoYo!,,,,,,,Size C,Titanium
Edge 3.0 (2022),124.99,YoYoFactory,64.7,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075Aluminum w/ Stainless Steel Ring,USA,China,,2022-02-01,Evan Nagao Signature YoYo!,,,,,,,Size C,Aluminum Bi-Metal
Catch 22,274.99,YoYoFactory,65.51,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium,USA,China,,2022-02-01,An iconic YoYoFactory model reimagined!,,,,,,,Size C,Titanium
Nobumecha,127.99,Sengoku,65.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7075 Aluminum w/ Stainless Steel Rims,Japan,China,,2022-02-01,Successor to the Nobunaga!,,,,,,,Size C,Aluminum Bi-Metal
GOPA,134.99,yoyorecreation,58.74,Size C (.250 x .500 x .187),YYR Large Pad,6061 Aluminum,Japan,USA,,2022-03-01,Classic feel meets modern performance.,,,,,,,Size C,Aluminum
DiGamma Crash,79.99,C3yoyodesign,64.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Polycarbonate w/ Stainless Steel Rims,Hong Kong,China,,2022-03-01,New addition to the C3 CRASH Series!,,,,,,,Size C,Polycarbonate Bi-Metal
Toru 0.99,186.99,yoyorecreation,65.75,Size C (.250 x .500 x .187),YYR Size C Pad,Aluminum,Japan,China,,2022-03-01,Toru Miyazaki signature model!,,,,,,,Size C,Aluminum
Progressiver,144.99,C3yoyodesign,63.6,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum YoYo Toy,Hong Kong,China,,2022-03-01,High performance bi-metal design!,,,,,,,Size C,Aluminum
MSG,209.99,Turning Point,70.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 w/ Stainless Steel Rims,Japan,China,,2022-03-01,Yuta Kashiwaya signature model!,,,,,,,Size C,Bi-Metal
Starship,,Round Spinning Objects,62.79,Size C (.250 x .500 x .187),Size C Landing Pad,Titanium,Singapore,China,,2022-03-01,New Titanium modeled after the Spaceship!,,,,,,,Size C,Titanium
Magpie 2.0,64.99,yoyofriends,64.81,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum,China,China,,2022-03-01,Newly redesigned Magpie!,,,,,,,Size C,Aluminum
Alpine,339.99,Caribou Lodge,65.8,Size C (.250 x .500 x .187),CLYW Snow Tires,Titanium,Canada,China,,2022-04-01,CLYW x Luftverk Collaboration!,,,,,,,Size C,Titanium
Invictus,44.99,Thesis YoYo,66.0,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,,2022-04-01,Built to break expectations!,,,,,,,Size C,Aluminum
Happo,74.99,Shuriken,64.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum w/ Stainless Steel Rims,Hong Kong,China,,2022-04-01,Performance driven design!,,,,,,,Size C,Aluminum Bi-Metal
The Ditch,50.0,Caribou Lodge,62.7,Size C (.250 x .500 x .187),CLYW Snow Tires,6061 Aluminum,Canada,China,,2022-04-01,Pocket friendly design based on the Gorge!,,,,,,,Size C,Aluminum
Skyfish,205.99,yoyorecreation,63.5,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Aluminum w/ Stainless Steel Rim,Japan,China,,2022-04-01,Ryuichi Nakamura signature yoyo!,,,,,,,Size C,Aluminum Bi-Metal
Duncan Torque,45.0,Duncan,,,,,,,,,Powerful competition level performance!,,,,,,,,
sOMEThING Versus,34.99,sOMEThING,,,,,,,,,Competition level performance!,,,,,,,,
sOMEThING Premiere,24.99,sOMEThING,,,,,,,,,Premium plastic performance without the premium price!,,,,,,,,
YYF Replay PRO,15.99,YoYoFactory,,,,,,,,,Gentry Stein Signature Plastic Yo-Yo!,,,,,,,,
Yoyorecreation Gargantua,29.99,yoyorecreation,,,,,,,,,Oversized High Performance Plastic Yo-Yo!,,,,,,,,
Joyride,39.99,Recess,,,,,,,,,Let's go for a Ride!,,,,,,,,
Krown ST,119.99,C3yoyodesign,,,,,,,,,Take the Krown to a whole new level,,,,,,,,
One Drop Terrarian,69.99,One Drop YoYos,,,,,,,,,Created in Collaboration with Re-Logic & Terraria!,,,,,,,,
Recess First Base,19.99,Recess,,,,,,,,,Molded Plastic Perfection!,,,,,,,,
Valkyrie,169.99,yoyorecreation,,,,,,,,,High End Bi-Metal Performance!,,,,,,,,
Yomega Alpha Wing,6.0,Yomega,,,,,,,,,Entry Level Fixed Axle Yo-Yo!,,,,,,,,
Turning Point II,64.99,Turning Point,,,,,,,,,Modeled after the 2008 Turning Point Original Yo-Yo!,,,,,,,,
YYF Replay - Responsive,14.99,YoYoFactory,,,,,,,,,Gentry Stein Signature Model Geared for Responsive Play!,,,,,,,,
OG Kenshin,79.99,Sengoku,,,,,,,,,First Ever 7068 Aluminum Alloy Yo-Yo!,,,,,,,,
One Drop Top Deck,66.0,One Drop YoYos,,,,,,,,,JT Nickel Signature Yo-Yo!,,,,,,,,
YYJ Dark Magic II,43.78,YoYoJam,,,,,,,,,#1 Choice of YoYoExpert.com,,,,,,,,
YoYoFactory Nine Dragons,74.99,YoYoFactory,,,,,,,,,Hold the power of NINE Dragons!,,,,,,,,
mowl M,69.99,MOWL,,,,,,,,,lurking deep in the darkest forests!,,,,,,,,
Flash,99.99,Unparalleled,64.54,Size C (.250 x .500 x .187)Centering,19mm Slim Pad Size,,USA,,China,,Yuki Nishisako Signature Yo-Yo!,,,,,,,Size C,
SKYVA,17.99,MagicYoYo,65.8,Size C (.250 x .500 x .187)Center Trac (R),19mm Slim Pad Size,,Canada,,China,,High Performance Plastic Yo-Yo!,,,,,,,Size C,
Sturm Panzer Yukiko,,Sturm Panzer,61.0,ConcaveSize D,Sturm panzer Blade Attack Pads,,Japan,,China,,Lightweight POM and 7075 Aluminum Construction!,,,,,,,Size D,
Freehand - Responsive,15.99,Duncan,64.0,Narrow Size C (.250 x .500 x .187),19mm Slim Pad Size,,USA,China,,,It's time to play 5A!,,,,,,,Size C,
YYF Replay PRO Contest Pack,24.99,YoYoFactory,,,,,,,,,Everything you need for 1A play!,,,,,,,,
YYF Shutter Contest Pack,49.99,YoYoFactory,,,,,,,,,Everything you need for 1A play!,,,,,,,,
Velocity Starter Set,21.99,YoYoFactory,,,,,,,,,Fully Adjustable Plastic Yo-Yo,,,,,,,,
Kraken,64.99,One Drop YoYos,65.1,Size C (.250 x .500 x .187)  One Drop 10Ball,One Drop Flow Groove Pads,,USA,USA,,,Release The Kraken!,,,,,,,Size C,
DONATION - Toys for Tots 2022,,YoYoExpert,,,,,,,,,Help make a kid's Christmas that much better.,,,,,,,,
The Gorge,114.99,Caribou Lodge,66.0,Size C (.250 x .500 x .187),CLYW Snow Tires,,Canada,China,,,Old School Style meets Modern Performance!,,,,,,,Size C,
Heist,59.99,YoYoFactory,61.5,Small Center TracSmall (5x10x4mm),CBC Small Pad,,USA,USA,,,Undersized yo-yo with full sized performance!,,,,,,,Size A,
Dune,99.99,Caribou Lodge,67.8,Size C (.250 x .500 x .187),CLYW Snow Tires,,Canada,China,,,Anthony Rojas Signature Return Top!,,,,,,,Size C,
Kaiser,90.0,ThrowRevolution,65.8,Concave - Licensed by Difeyo  Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",,Singapore,China,,,Built for the aspiring competitive yo-yo player!,,,,,,,Size C,
Coldfire,79.99,Sengoku,63.6,Size C (.250 x .500 x .187),Sengoku Katana Pads  19mm Slim Pad Size,,USA,China,,,ELEMENTAL Series by Sengoku!,,,,,,,Size C,
Czech Point Pivot,54.99,YoYoFactory,65.3,Size C (.250 x .500 x .187)  Center Trac,"CBC ""Slim Pad"" Size 19mm OD",,USA,China,,,Hollow Body Fingerspin Design!,,,,,,,Size C,
KiCKSTART,20.0,iYoYo,64.4,Size C (.250 x .500 x .187),19mm Slim Pad Size,,Germany,Germany,,,Kickstart your freestyles!,,,,,,,Size C,
Mini Star 2,99.0,General Yo,59.5,Centering Size C (.250 x .500 x .187),General-Yo GEN 19mm Pads,,USA,China,,,Bi-Metal Performance in a Compact Design!,,,,,,,Size C,
Wind Runner,32.99,Duncan,66.5,Size C (.250 x .500 x .187) Concave (Licensed by Difeyo),19mm Slim Pad Size,,USA,China,,,Amazing performance at an even better price!,,,,,,,Size C,
Shutter - Wide Angle,54.99,YoYoFactory,64.3,Size C (.250 x .500 x .187),"CBC ""Slim Pad"" Size 19mm OD",,USA,China,,,World Champion Gentry Stein Signature Yo-Yo!,,,,,,,Size C,
iCEBERG Classic,69.99,iYoYo,65.0,Size C (.250 x .500 x .187),iYoYo iRings 19mm Slim Pad Compatible,,Germany,China,,,Machined plastic body with steel rings!,,,,,,,Size C,
TopYo MOJO,13.99,Top Yo,66.7,Centering Size C (.250 x .500 x .187),19mm Slim Pad Size,,China,China,,,High Performance Fingerspin Yo-Yo!,,,,,,,Size C,
Surveillance,139.99,MOWL,66.5,Konkave  Size C (.250 x .500 x .187),K-Pad  19mm Slim Pad size,,Japan / Germany,China,,,Daiki Tanaka Signature Yo-Yo!,,,,,,,Size C,
Deep State,49.99,One Drop YoYos,51.5,Size C (.250 x .500 x .187),One Drop Pads  Standard Flow Groove Pad,,USA,USA,,,Slim-line yo-yo!,,,,,,,Size C,
VaporMotion,29.99,C3yoyodesign,64.4,Size C (.250 x .500 x .187),19mm slim Pad Size,,China,China,,,Plastic Body W/ Metal Fingerspin Caps!,,,,,,,Size C,
Haymaker X,119.99,Duncan,65.3,Konkave Size C (.250 x .500 x .187),19mm Silicone Groove Stickers,,USA,China,,,New and improved Haymaker!,,,,,,,Size C,
Boost,75.0,YoYoFactory,63.8,CBC Center Trac Size C (.250 x .500 x .187),"CBC ""Slim Pad"" Size 19mm OD",,USA,China,,,Alex Hattori Signature Yo-Yo!,,,,,,,Size C,
Surveil,89.99,MOWL,63.5,Konkave  Size C (.250 x .500 x .187),hkmt Equipment Grip-C Pad,,Japan,China,,,Plastic version of the Surveillance!,,,,,,,Size C,
St. Elmo,,Turning Point,65.6,Centering Size C (.250 x .500 x .187),19mm Slim Pad,,Japan,China,,,Signature Series of Takeshi Matsuura!,,,,,,,Size C,
Anomaly,171.99,yoyorecreation,66.8,Centering Size C (.250 x .500 x .187),19 mm Slim Pad Size,,Japan,China,,,Powerful durable bi-metal design!,,,,,,,Size C,
